HR,SpO2
85.0,100.0
80.0,100.0
80.0,100.0
78.0,100.0
82.0,100.0
80.0,100.0
79.0,100.0
77.0,100.0
78.0,100.0
78.0,100.0
77.0,100.0
79.0,100.0
79.0,100.0
78.0,100.0
78.0,100.0
80.0,100.0
80.0,100.0
80.0,100.0
81.0,100.0
78.0,100.0
80.0,100.0
82.0,100.0
80.0,100.0
79.0,100.0
78.0,100.0
78.0,100.0
78.0,100.0
78.0,100.0
79.0,100.0
77.0,100.0
79.0,100.0
82.0,100.0
80.0,100.0
80.0,100.0
80.0,100.0
81.0,100.0
78.0,100.0
83.0,100.0
84.0,100.0
83.0,100.0
90.0,100.0
92.0,100.0
94.0,100.0
90.0,100.0
91.0,100.0
91.0,100.0
87.0,100.0
87.0,100.0
87.0,100.0
86.0,100.0
85.0,100.0
81.0,100.0
82.0,100.0
84.0,99.0
83.0,99.0
84.0,99.0
82.0,99.0
81.0,100.0
81.0,100.0
80.0,100.0
81.0,100.0
80.0,100.0
82.0,100.0
83.0,100.0
86.0,100.0
89.0,100.0
91.0,100.0
90.0,100.0
89.0,100.0
89.0,100.0
87.0,100.0
88.0,100.0
86.0,100.0
82.0,100.0
81.0,100.0
90.0,93.0
90.0,93.0
91.0,93.0
91.0,93.0
91.0,93.0
91.0,93.0
91.0,93.0
90.0,92.0
90.0,92.0
90.0,92.0
90.0,92.0
90.0,92.0
92.0,92.0
89.0,92.0
90.0,92.0
90.0,92.0
90.0,92.0
90.0,92.0
91.0,92.0
90.0,92.0
89.0,92.0
91.0,92.0
91.0,92.0
90.0,92.0
91.0,92.0
91.0,92.0
90.0,92.0
91.0,92.0
91.0,92.0
91.0,92.0
91.0,92.0
91.0,92.0
90.0,92.0
91.0,92.0
91.0,92.0
91.0,92.0
91.0,92.0
91.0,92.0
90.0,92.0
90.0,92.0
90.0,93.0
89.0,93.0
89.0,93.0
89.0,93.0
89.0,93.0
89.0,93.0
90.0,93.0
89.0,93.0
88.0,93.0
89.0,93.0
88.0,93.0
88.0,93.0
88.0,93.0
88.0,93.0
87.0,93.0
88.0,93.0
89.0,93.0
88.0,93.0
90.0,93.0
90.0,93.0
90.0,93.0
90.0,93.0
89.0,93.0
91.0,93.0
89.0,93.0
91.0,93.0
91.0,93.0
90.0,93.0
90.0,93.0
90.0,93.0
90.0,93.0
91.0,93.0
90.0,93.0
90.0,93.0
90.0,93.0
90.0,93.0
89.0,93.0
90.0,93.0
91.0,93.0
89.0,93.0
91.0,93.0
92.0,93.0
91.0,93.0
91.0,93.0
91.0,92.0
91.0,92.0
91.0,92.0
91.0,92.0
91.0,92.0
90.0,92.0
89.0,92.0
92.0,92.0
90.0,93.0
90.0,93.0
90.0,93.0
89.0,93.0
90.0,93.0
90.0,93.0
87.0,93.0
88.0,93.0
90.0,93.0
90.0,93.0
90.0,93.0
90.0,93.0
90.0,93.0
90.0,93.0
90.0,93.0
90.0,93.0
90.0,92.0
90.0,92.0
90.0,92.0
90.0,92.0
90.0,92.0
90.0,92.0
90.0,92.0
90.0,93.0
92.0,93.0
90.0,93.0
91.0,93.0
91.0,93.0
92.0,93.0
91.0,93.0
91.0,93.0
91.0,93.0
91.0,93.0
90.0,93.0
88.0,93.0
92.0,92.0
90.0,92.0
90.0,92.0
90.0,92.0
90.0,92.0
90.0,92.0
91.0,92.0
91.0,92.0
91.0,92.0
92.0,93.0
90.0,92.0
91.0,92.0
